--------- beginning of main
07-21 08:54:09.825 13619 13629 I vision.svplaye: Background concurrent copying GC freed 221079(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 27MB/33MB, paused 161us total 359.824ms
07-21 08:54:11.448 13619 13629 I vision.svplaye: Background concurrent copying GC freed 213501(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 27MB/33MB, paused 183us total 331.031ms
07-21 08:54:12.788 13619 13629 I vision.svplaye: Background concurrent copying GC freed 214135(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 172us total 325.911ms
07-21 08:54:13.972 13619 13629 I vision.svplaye: Background concurrent copying GC freed 220027(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 219us total 321.827ms
07-21 08:54:15.167 13619 13629 I vision.svplaye: Background concurrent copying GC freed 221756(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 182us total 325.309ms
07-21 08:54:16.339 13619 13629 I vision.svplaye: Background concurrent copying GC freed 222609(7MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 188us total 322.812ms
07-21 08:54:17.500 13619 13629 I vision.svplaye: Background concurrent copying GC freed 223937(7MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 201us total 313.430ms
07-21 08:54:18.669 13619 13629 I vision.svplaye: Background concurrent copying GC freed 220503(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 177us total 310.998ms
07-21 08:54:19.847 13619 13629 I vision.svplaye: Background concurrent copying GC freed 220992(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 169us total 308.478ms
07-21 08:54:21.044 13619 13629 I vision.svplaye: Background concurrent copying GC freed 220238(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 189us total 313.351ms
07-21 08:54:22.263 13619 13629 I vision.svplaye: Background concurrent copying GC freed 219731(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 169us total 322.535ms
