--------- beginning of main
07-15 00:24:03.006 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:18.932 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:34.761 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:50.634 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:25:08.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:23.612 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:39.305 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:55.123 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:11.045 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:26.954 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:26:44.312 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 8 lines
07-15 00:26:56.999 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199072(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 214.774ms
07-15 00:26:58.595 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200391(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 214.126ms
07-15 00:27:00.174 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201177(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 242us total 221.605ms
07-15 00:27:01.757 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199775(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 211.204ms
07-15 00:27:03.348 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199211(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 150us total 210.599ms
07-15 00:27:04.953 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202348(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 159us total 217.913ms
07-15 00:27:06.557 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202102(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 148us total 222.632ms
07-15 00:27:08.149 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202465(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 212.353ms
07-15 00:27:09.725 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200846(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 243us total 217.721ms
07-15 00:27:11.321 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199429(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 184us total 221.287ms
07-15 00:27:12.911 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200423(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 166us total 214.706ms
07-15 00:27:14.513 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201812(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 1.147ms total 220.562ms
07-15 00:27:16.111 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203012(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 214.674ms
07-15 00:27:17.704 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200413(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 214.200ms
07-15 00:27:19.317 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202733(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 166us total 225.156ms
