--------- beginning of main
07-15 00:27:16.111 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:27:31.946 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:27:47.792 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:03.636 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:19.497 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-15 00:28:29.019 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198370(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 214.180ms
07-15 00:28:30.613 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200772(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 213.999ms
07-15 00:28:32.176 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200310(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 214.321ms
07-15 00:28:33.767 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201205(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 207.580ms
07-15 00:28:35.370 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202034(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 212.780ms
07-15 00:28:36.938 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200826(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 207.723ms
07-15 00:28:38.543 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198323(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 225.327ms
07-15 00:28:40.107 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201139(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 209us total 214.249ms
07-15 00:28:41.691 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198810(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 207.594ms
07-15 00:28:43.299 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199966(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 223.700ms
07-15 00:28:44.888 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202522(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 145us total 213.576ms
07-15 00:28:46.491 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202438(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 214.826ms
07-15 00:28:48.097 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202095(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 161us total 220.704ms
07-15 00:28:49.701 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202065(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 223.059ms
07-15 00:28:51.297 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202089(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 222us total 216.474ms
07-15 00:28:52.893 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200927(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 190us total 218.872ms
07-15 00:28:54.450 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201224(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 181us total 208.258ms
07-15 00:28:56.054 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198650(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 191us total 220.374ms
07-15 00:28:57.649 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201005(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 165us total 219.533ms
07-15 00:28:59.260 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201951(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 230.579ms
