--------- beginning of main
07-15 00:27:47.792 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:03.636 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:19.497 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:35.370 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:51.297 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:07.212 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:23.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:29:40.468 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:56.385 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:12.309 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:28.265 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:44.070 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 8 lines
07-15 00:30:56.787 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200142(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 219.616ms
07-15 00:30:58.368 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201270(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 187us total 205.594ms
07-15 00:30:59.975 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200039(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 220.477ms
07-15 00:31:01.557 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202100(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 238us total 215.469ms
07-15 00:31:03.145 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199383(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 221.283ms
07-15 00:31:04.730 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200802(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 161us total 209.434ms
07-15 00:31:06.322 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201068(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 157us total 208.073ms
07-15 00:31:07.890 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198662(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 205.732ms
07-15 00:31:09.501 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203307(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 285us total 223.967ms
07-15 00:31:11.090 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198943(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 150us total 217.172ms
07-15 00:31:12.684 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202256(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 212.567ms
