--------- beginning of main
07-15 00:31:31.764 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:31:47.629 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:03.451 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:19.310 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:35.227 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:51.155 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:07.027 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-15 00:33:11.616 17906 17944 I chatty  : uid=10247(com.smartvision.svplayer) WM.task-1 expire 1 line
07-15 00:33:11.694 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:33:13.344 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:29.228 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:45.052 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:00.937 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:16.618 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:32.285 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 00:34:36.930 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199542(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 207.429ms
07-15 00:34:38.506 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203217(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 213.753ms
07-15 00:34:40.077 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201091(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 272us total 222.493ms
07-15 00:34:41.635 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202576(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 208.023ms
07-15 00:34:43.218 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201252(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 228.004ms
07-15 00:34:44.778 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202629(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 1.186ms total 218.625ms
07-15 00:34:46.339 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201821(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 214.680ms
07-15 00:34:47.892 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201392(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 202.968ms
07-15 00:34:49.452 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198693(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 233us total 223.278ms
07-15 00:34:50.999 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200677(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 209us total 208.509ms
07-15 00:34:52.569 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200883(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 218.930ms
07-15 00:34:54.144 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202225(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 171us total 226.475ms
07-15 00:34:55.662 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200293(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 205.104ms
07-15 00:34:57.271 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200378(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 244.410ms
07-15 00:34:58.832 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203305(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 231.438ms
07-15 00:35:00.379 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200625(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 184us total 217.877ms
07-15 00:35:01.919 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201432(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 234us total 209.013ms
07-15 00:35:03.474 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199341(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 230us total 207.024ms
07-15 00:35:05.017 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199146(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 199us total 214.008ms
07-15 00:35:06.577 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200464(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 212.467ms
07-15 00:35:08.114 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198287(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 210.384ms
07-15 00:35:09.678 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200630(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 176us total 215.826ms
07-15 00:35:11.239 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199811(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 184us total 212.114ms
07-15 00:35:12.801 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202484(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 301us total 206.721ms
07-15 00:35:14.372 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201323(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 212.650ms
07-15 00:35:15.936 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202116(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 208.541ms
07-15 00:35:17.501 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202007(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 220us total 206.344ms
07-15 00:35:19.086 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202008(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 220.966ms
07-15 00:35:20.644 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201884(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 213.634ms
07-15 00:35:22.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201929(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 212.646ms
07-15 00:35:23.778 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202422(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 207.078ms
07-15 00:35:25.334 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200442(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 221.303ms
07-15 00:35:26.889 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201389(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 213.730ms
07-15 00:35:28.481 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199700(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 235.646ms
07-15 00:35:30.023 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203659(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 207.354ms
07-15 00:35:31.561 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197453(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 183us total 213.888ms
07-15 00:35:33.129 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200532(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 236us total 216.314ms
07-15 00:35:34.650 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199391(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 211.622ms
07-15 00:35:36.218 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200042(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 266us total 218.550ms
07-15 00:35:37.757 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201964(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 227us total 210.967ms
07-15 00:35:39.304 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198851(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 204.075ms
07-15 00:35:40.850 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199492(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 260us total 213.992ms
07-15 00:35:42.409 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199936(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 213.769ms
07-15 00:35:43.972 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199383(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 216.422ms
07-15 00:35:45.531 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202525(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 208.738ms
07-15 00:35:47.080 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201403(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 237us total 209.115ms
