--------- beginning of main
07-15 00:50:40.416 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:50:42.241 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:50:58.097 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:14.024 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:29.821 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:45.651 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:02.782 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:18.326 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:35.485 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:51.106 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:53:06.815 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-15 00:53:08.353 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198307(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 235us total 208.423ms
07-15 00:53:09.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199619(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 187us total 211.934ms
07-15 00:53:11.443 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199688(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 205.535ms
07-15 00:53:13.015 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199240(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 222.409ms
07-15 00:53:14.585 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202015(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 223.554ms
07-15 00:53:16.138 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202538(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 207.426ms
07-15 00:53:17.702 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198667(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 226.171ms
07-15 00:53:19.263 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202452(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 286us total 228.607ms
07-15 00:53:20.807 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200854(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 173us total 207.520ms
07-15 00:53:22.383 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200793(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 218.716ms
07-15 00:53:23.956 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202235(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 152us total 221.651ms
07-15 00:53:25.519 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201711(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 145us total 214.479ms
07-15 00:53:27.061 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201636(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 153us total 209.735ms
07-15 00:53:28.627 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198174(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 218.570ms
07-15 00:53:30.205 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202179(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 1.846ms total 223.060ms
07-15 00:53:31.770 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202545(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 213.885ms
07-15 00:53:33.337 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200984(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 247us total 213.188ms
07-15 00:53:34.907 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201100(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 218.522ms
07-15 00:53:36.477 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201636(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 150us total 223.858ms
07-15 00:53:38.069 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202777(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 233.236ms
07-15 00:53:39.618 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202431(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 194us total 206.529ms
07-15 00:53:41.201 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201348(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 195us total 224.108ms
07-15 00:53:42.735 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200160(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 230us total 216.182ms
07-15 00:53:44.302 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201226(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 222us total 218.199ms
07-15 00:53:45.875 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201884(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 223us total 223.057ms
07-15 00:53:47.443 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203402(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 165us total 217.521ms
07-15 00:53:49.005 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200280(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 211.063ms
07-15 00:53:50.574 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201450(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 150us total 214.994ms
07-15 00:53:52.152 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201954(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 222.175ms
07-15 00:53:53.724 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202656(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 352us total 218.628ms
07-15 00:53:55.289 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201866(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 213.935ms
