--------- beginning of main
07-15 01:03:48.593 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 6921(230KB) AllocSpace objects, 2(68KB) LOS objects, 20% free, 22MB/28MB, paused 199us total 267.486ms
07-15 01:03:50.754 17906 17920 I vision.svplaye: Background concurrent copying GC freed 189291(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 22MB/28MB, paused 221us total 254.204ms
07-15 01:03:53.140 17906 17920 I vision.svplaye: Background concurrent copying GC freed 249206(7MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 360us total 254.276ms
07-15 01:03:55.534 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207072(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 228us total 256.409ms
07-15 01:03:57.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202860(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 243us total 240.109ms
07-15 01:04:00.269 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204825(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 185us total 227.942ms
07-15 01:04:02.641 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205312(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 245us total 240.457ms
07-15 01:04:05.029 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204334(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 244us total 250.474ms
07-15 01:04:07.421 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206312(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 158us total 251.331ms
07-15 01:04:09.846 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208048(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 489us total 269.101ms
07-15 01:04:12.238 17906 17920 I vision.svplaye: Background concurrent copying GC freed 209047(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 286us total 249.782ms
07-15 01:04:14.637 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206133(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 1.105ms total 234.936ms
07-15 01:04:17.009 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203140(6MB) AllocSpace objects, 1(20KB) LOS objects, 22% free, 21MB/27MB, paused 181us total 231.027ms
07-15 01:04:19.434 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204179(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 202us total 257.339ms
07-15 01:04:21.838 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207870(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 214us total 251.406ms
07-15 01:04:24.252 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206875(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 196us total 248.333ms
07-15 01:04:26.649 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205143(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 204us total 258.403ms
