--------- beginning of main
07-15 01:05:24.191 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205986(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 190us total 248.275ms
07-15 01:05:26.570 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207744(6MB) AllocSpace objects, 1(20KB) LOS objects, 21% free, 21MB/27MB, paused 272us total 244.503ms
07-15 01:05:28.343 17906 17920 I vision.svplaye: Background concurrent copying GC freed 149971(4MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 201us total 242.440ms
07-15 01:05:30.716 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206567(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 213us total 243.545ms
07-15 01:05:33.093 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206302(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 225us total 237.258ms
07-15 01:05:35.481 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205601(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 192us total 254.100ms
07-15 01:05:37.857 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207943(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 271us total 238.599ms
07-15 01:05:40.245 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206092(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 208us total 251.046ms
07-15 01:05:42.637 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207795(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 252us total 246.977ms
07-15 01:05:45.017 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205147(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 222us total 249.516ms
07-15 01:05:47.362 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204838(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 207us total 246.468ms
07-15 01:05:49.749 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208141(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 184us total 244.982ms
