--------- beginning of main
07-15 01:10:20.522 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:10:44.341 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:11:08.245 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:11:32.107 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 01:11:58.270 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:12:22.045 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:12:45.865 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 9 lines
07-15 01:13:02.201 17906 17906 I chatty  : uid=10247(com.smartvision.svplayer) expire 2 lines
07-15 01:13:02.494 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 01:13:02.956 17906 17957 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 2 lines
07-15 01:13:04.259 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:20.254 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:36.199 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:52.176 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 01:13:56.962 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207273(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 186us total 255.732ms
07-15 01:13:58.557 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203493(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 192us total 260.112ms
07-15 01:14:00.163 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206526(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 184us total 260.311ms
07-15 01:14:01.751 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205668(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 147us total 251.753ms
07-15 01:14:03.367 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206701(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 184us total 265.393ms
07-15 01:14:04.969 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207718(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 144us total 259.873ms
07-15 01:14:06.571 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205966(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 147us total 261.807ms
07-15 01:14:08.175 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208096(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 200us total 255.331ms
07-15 01:14:09.777 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205733(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 204us total 261.025ms
07-15 01:14:11.356 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206365(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 135us total 253.714ms
07-15 01:14:12.950 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203919(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 302us total 256.705ms
07-15 01:14:14.554 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205073(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 179us total 263.056ms
07-15 01:14:16.151 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207138(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 146us total 259.679ms
07-15 01:14:17.769 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206392(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 195us total 273.352ms
