--------- beginning of main
07-21 19:59:06.373 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 19:59:06.496 15386 15657 I chatty  : uid=10247(com.smartvision.svplayer) expire 132 lines
07-21 19:59:06.551 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 3 lines
07-21 19:59:06.678 15386 15668 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 19:59:06.678 15386 15670 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 19:59:06.976 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 2 lines
07-21 19:59:10.213 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 3 lines
07-21 19:59:10.456 15386 15489 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 2 lines
07-21 19:59:10.626 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 4 lines
07-21 19:59:11.885 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-21 19:59:12.693 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 19:59:12.948 15386 15489 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 1 line
07-21 19:59:13.016 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 2 lines
07-21 19:59:13.151 15386 15489 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 1 line
07-21 19:59:13.327 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 3 lines
07-21 19:59:14.851 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 2 lines
07-21 19:59:15.086 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 1 line
07-21 19:59:15.742 15386 15489 I OpenGLRenderer: Davey! duration=1531ms; Flags=0, IntendedVsync=13112023448971, Vsync=13112156915771, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=13112165747779, AnimationStart=13112165779010, PerformTraversalsStart=13112301890933, DrawStart=13112302121318, SyncQueued=13113509137395, SyncStart=13113509243703, IssueDrawCommandsStart=13113510387549, SwapBuffers=13113553243241, FrameCompleted=13113555208087, DequeueBufferDuration=472000, QueueBufferDuration=991000, 
07-21 19:59:15.808 15386 15386 I Choreographer: Skipped 86 frames!  The application may be doing too much work on its main thread.
07-21 19:59:16.119 15386 15489 I OpenGLRenderer: Davey! duration=1758ms; Flags=0, IntendedVsync=13112173615653, Vsync=13113608383753, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=13113621974087, AnimationStart=13113622079780, PerformTraversalsStart=13113852541318, DrawStart=13113852846780, SyncQueued=13113922703241, SyncStart=13113922842318, IssueDrawCommandsStart=13113923575395, SwapBuffers=13113931182703, FrameCompleted=13113932433318, DequeueBufferDuration=327000, QueueBufferDuration=362000, 
07-21 19:59:17.090 15386 15386 I SVHomeLoad: continue ready profile=de993c35 revision=0
07-21 19:59:17.670 15386 15403 I vision.svplaye: NativeAlloc concurrent copying GC freed 54885(2MB) AllocSpace objects, 10(200KB) LOS objects, 41% free, 8MB/14MB, paused 233us total 261.054ms
07-21 19:59:17.974 15386 15386 I Choreographer: Skipped 52 frames!  The application may be doing too much work on its main thread.
07-21 19:59:17.995 15386 15489 I OpenGLRenderer: Davey! duration=998ms; Flags=0, IntendedVsync=13114809561496, Vsync=13114892978246, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=13114905348318, AnimationStart=13114905381010, PerformTraversalsStart=13115088356318, DrawStart=13115088628934, SyncQueued=13115762113318, SyncStart=13115762249472, IssueDrawCommandsStart=13115763216087, SwapBuffers=13115802030318, FrameCompleted=13115808299010, DequeueBufferDuration=536000, QueueBufferDuration=5302000, 
07-21 19:59:18.069 15386 15393 I vision.svplaye: Compiler allocated 4MB to compile void com.smartvision.svplayer.ui.home.ContentProgressCardKt.ContentProgressCard(com.smartvision.svplayer.data.mock.ContinueItem, java.lang.String, kotlin.jvm.functions.Function0, androidx.compose.ui.Modifier, androidx.compose.ui.focus.FocusRequester, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, java.lang.String, java.lang.String, boolean, java.lang.String, com.smartvision.svplayer.ui.home.HomePreviewController, androidx.compose.runtime.Composer, int, int, int)
07-21 19:59:18.131 15386 15489 I OpenGLRenderer: Davey! duration=1035ms; Flags=0, IntendedVsync=13114909636472, Vsync=13115777170672, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=13115788104934, AnimationStart=13115788139241, PerformTraversalsStart=13115867821472, DrawStart=13115868188164, SyncQueued=13115933803626, SyncStart=13115933959164, IssueDrawCommandsStart=13115934807703, SwapBuffers=13115943370164, FrameCompleted=13115944829395, DequeueBufferDuration=542000, QueueBufferDuration=496000, 
07-21 19:59:20.062 15386 15403 I vision.svplaye: Background concurrent copying GC freed 162506(5MB) AllocSpace objects, 13(268KB) LOS objects, 40% free, 8MB/14MB, paused 186us total 166.372ms
07-21 19:59:21.273 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192398(5MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 183us total 130.051ms
07-21 19:59:22.401 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192043(5MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 157us total 131.015ms
07-21 19:59:23.473 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196826(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 181us total 135.248ms
07-21 19:59:24.534 15386 15403 I vision.svplaye: Background concurrent copying GC freed 198886(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 266us total 131.156ms
07-21 19:59:25.594 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196782(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 150us total 135.493ms
07-21 19:59:26.641 15386 15403 I vision.svplaye: Background concurrent copying GC freed 197747(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 213us total 132.091ms
