--------- beginning of main
07-21 20:03:48.029 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:48.306 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 3 lines
07-21 20:03:48.416 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:48.778 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 1 line
07-21 20:03:49.127 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:49.814 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:50.009 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:03:51.022 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:07.268 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-21 20:04:26.174 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-21 20:04:33.928 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:34.278 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 4 lines
07-21 20:04:35.392 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-21 20:04:36.221 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:37.844 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:04:38.319 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:54.224 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-21 20:04:59.170 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210579(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 176us total 268.843ms
07-21 20:05:00.823 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211893(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 173us total 268.224ms
07-21 20:05:02.451 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208209(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 185us total 259.190ms
07-21 20:05:04.116 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209923(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 157us total 281.505ms
07-21 20:05:05.765 15386 15403 I vision.svplaye: Background concurrent copying GC freed 213848(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 170us total 269.673ms
07-21 20:05:07.406 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211536(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 176us total 259.017ms
07-21 20:05:09.037 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207265(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 198us total 263.308ms
07-21 20:05:10.685 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210032(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 214us total 259.456ms
07-21 20:05:12.338 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208828(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 211us total 285.415ms
07-21 20:05:13.990 15386 15403 I vision.svplaye: Background concurrent copying GC freed 213615(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 192us total 265.061ms
07-21 20:05:15.630 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210433(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 210us total 268.054ms
07-21 20:05:17.250 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208158(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 187us total 269.303ms
07-21 20:05:18.836 15386 15403 I vision.svplaye: Background concurrent copying GC freed 206686(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 225us total 255.061ms
07-21 20:05:20.406 15386 15403 I vision.svplaye: Background concurrent copying GC freed 213650(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 237us total 268.361ms
